#L  Jc  err_Jc  C_mx  err_C
8	0.3385	0.0004	5.644	0.004
16	0.3458	0.0004	6.48	0.02
32	0.3502	0.0005	7.21	0.02
64	0.3520	0.0005	7.88	0.03
